Airline,Dep_Airport,Arr_Airport,Scheduled_Departure,Dep_Temp,Dep_Humidity,Dep_Weather,Dep_WindSpeed,Dep_Visibility,Dep_RainfallRate,Dep_SnowAccumulation,Arr_Temp,Arr_Humidity,Arr_Weather,Arr_WindSpeed,Arr_Visibility,Arr_RainfallRate,Arr_SnowAccumulation,Delay_Minutes,Delay_Status
IndiGo,DEL,JFK,01:53,45.6,43,Snow,41,272,26.7,4.7,-28.3,66,Fog,48,254,28.5,3.0,28,1
British Airways,BLR,DEL,13:51,16.2,56,Rain,17,9602,0.5,0.9,23.8,78,Rain,6,5142,5.1,0.2,0,0
Air India,BOM,DXB,21:46,-24.6,77,Snow,55,255,26.5,4.9,-28.1,77,Fog,57,405,26.5,4.9,69,1
Air India,DXB,BOM,11:54,-1.3,99,Sunny,11,8259,5.9,0.8,17.9,72,Storm,16,4884,2.8,0.1,0,0
SpiceJet,DEL,BLR,06:43,42.0,95,Fog,53,603,25.9,4.0,-27.3,99,Snow,46,257,28.2,3.8,82,1
Air India,JFK,LHR,23:06,21.2,78,Sunny,20,8572,6.0,0.6,8.0,89,Sunny,10,5803,8.4,0.8,0,0
Emirates,BLR,JFK,00:18,41.1,97,Fog,57,438,25.3,4.5,41.5,99,Rain,50,106,25.7,3.0,87,1
IndiGo,BOM,JFK,14:38,15.0,93,Cloudy,28,5112,2.8,0.4,27.6,38,Fog,10,2966,4.0,0.8,0,0
SpiceJet,JFK,LHR,08:59,44.5,90,Sunny,50,197,27.3,3.8,-27.9,38,Sunny,43,450,27.0,3.9,67,1
British Airways,DXB,LHR,05:31,-8.0,96,Sunny,27,8302,5.6,0.2,7.1,59,Storm,20,2373,6.2,0.5,0,0
SpiceJet,DXB,LHR,12:26,45.1,89,Snow,48,619,24.5,3.9,43.9,92,Fog,45,490,25.2,4.3,22,1
IndiGo,DXB,BOM,16:03,17.6,47,Cloudy,20,8376,1.9,0.2,21.3,36,Snow,25,7220,9.5,0.5,0,0
IndiGo,LHR,JFK,03:12,-25.9,43,Cloudy,56,171,24.7,4.8,41.5,32,Cloudy,50,543,29.5,5.0,97,1
SpiceJet,BLR,DEL,15:05,25.5,56,Sunny,7,5411,8.2,0.5,17.7,66,Fog,9,3691,9.6,0.9,0,0
IndiGo,LHR,BLR,08:23,42.5,49,Storm,41,443,21.7,3.4,42.7,47,Cloudy,56,546,28.8,4.4,46,1
SpiceJet,BOM,DEL,07:28,-6.1,36,Snow,28,8814,8.6,0.5,-1.9,60,Storm,4,7720,1.8,0.7,0,0
Air India,BLR,BOM,23:03,45.6,94,Snow,46,231,22.0,2.8,42.6,94,Fog,53,362,26.6,4.1,36,1
IndiGo,JFK,DEL,09:13,29.9,81,Sunny,22,4740,4.0,0.1,20.5,76,Snow,13,8657,6.1,0.1,0,0
British Airways,BLR,LHR,20:09,-21.7,51,Fog,41,673,28.6,4.4,-24.5,52,Fog,55,116,26.8,3.5,90,1
Air India,DEL,DXB,06:06,29.2,50,Sunny,21,3359,0.5,0.3,20.5,48,Fog,27,8013,4.7,0.0,0,0
SpiceJet,DXB,DEL,11:35,-23.7,46,Rain,44,395,29.4,3.8,41.7,34,Snow,54,238,28.8,3.3,51,1
IndiGo,DXB,DEL,23:31,29.3,76,Storm,19,7363,8.1,0.8,2.9,79,Sunny,22,6828,3.4,0.3,0,0
British Airways,BLR,DXB,18:47,42.3,31,Storm,46,105,28.2,4.1,45.8,41,Rain,54,156,27.6,4.6,23,1
Air India,JFK,BOM,17:38,15.2,81,Fog,29,7290,2.3,0.8,3.2,60,Storm,0,4631,7.1,0.7,0,0
Air India,DEL,JFK,17:53,-26.9,88,Storm,45,508,21.9,2.9,-22.3,71,Storm,45,595,21.1,3.7,98,1
IndiGo,BLR,BOM,21:39,19.8,54,Cloudy,7,4103,3.3,0.8,-9.1,57,Cloudy,14,8164,6.3,0.7,0,0
IndiGo,BLR,DEL,15:44,42.3,87,Fog,45,322,25.8,3.8,-26.2,40,Rain,59,386,25.0,3.4,41,1
SpiceJet,DEL,DXB,06:53,26.0,36,Snow,30,9125,1.3,0.0,21.4,62,Cloudy,25,5078,4.3,0.2,0,0
Emirates,LHR,BOM,20:25,-24.1,68,Fog,50,441,25.9,3.8,44.8,83,Cloudy,54,621,28.4,2.9,72,1
IndiGo,DXB,JFK,17:41,7.5,42,Snow,22,4323,8.3,0.3,29.3,91,Storm,2,9602,1.2,0.6,0,0
IndiGo,LHR,DEL,21:00,-29.3,80,Snow,57,249,29.9,3.6,44.1,86,Snow,57,215,29.5,3.9,97,1
Air India,BLR,DEL,06:01,7.9,90,Rain,30,5161,1.7,0.2,7.1,69,Cloudy,9,7781,5.9,0.3,0,0
British Airways,JFK,LHR,17:51,44.7,56,Cloudy,54,575,25.8,4.0,41.3,52,Storm,52,198,25.5,4.0,102,1
Air India,DEL,BLR,04:38,17.7,39,Snow,9,9099,9.4,0.7,5.9,83,Rain,24,2040,7.3,0.9,0,0
Air India,DXB,LHR,03:23,41.1,82,Snow,46,351,21.4,4.6,-26.7,77,Snow,46,171,27.5,4.1,65,1
SpiceJet,BOM,DXB,16:07,11.2,37,Rain,1,3903,6.8,0.8,3.7,74,Sunny,7,7180,7.1,0.6,0,0
British Airways,BOM,JFK,07:48,-23.5,73,Cloudy,52,279,26.8,5.0,44.4,95,Storm,53,320,22.5,4.0,114,1
SpiceJet,LHR,BOM,12:36,23.3,62,Cloudy,30,2388,9.9,0.2,-6.7,90,Fog,30,5474,7.3,0.4,0,0
Air India,DXB,JFK,13:31,42.4,30,Fog,54,357,27.4,3.7,-24.9,75,Snow,51,173,25.9,3.4,47,1
Emirates,BLR,DEL,00:50,-6.1,51,Storm,18,7735,6.1,0.2,22.8,79,Storm,9,6292,4.6,0.1,0,0
Air India,LHR,BOM,06:23,43.9,61,Sunny,55,410,22.6,3.2,43.7,68,Cloudy,42,450,29.3,4.4,63,1
Air India,DXB,BOM,16:27,7.9,30,Sunny,9,5379,7.8,1.0,16.2,61,Rain,11,3411,8.9,0.7,0,0
IndiGo,BOM,LHR,19:01,-22.9,97,Cloudy,42,146,28.5,4.1,45.2,71,Cloudy,49,140,24.7,4.4,72,1
Emirates,DXB,BOM,06:38,-1.4,64,Storm,11,2081,2.7,0.3,8.6,53,Rain,12,5457,4.6,0.3,0,0
IndiGo,DXB,LHR,11:47,-26.6,75,Cloudy,57,120,21.2,4.3,-26.7,40,Snow,47,402,25.9,2.8,105,1
IndiGo,BOM,DXB,00:06,15.8,34,Snow,14,4018,4.4,0.6,12.7,89,Snow,8,2502,6.0,0.3,0,0
Air India,JFK,DEL,13:13,43.2,90,Sunny,48,566,25.1,3.6,-29.1,52,Cloudy,48,293,28.5,4.3,21,1
Emirates,DEL,BLR,23:11,5.8,84,Rain,7,6860,7.0,0.2,2.1,34,Snow,20,6648,8.7,0.9,0,0
British Airways,DXB,JFK,18:46,-21.3,35,Fog,58,333,22.2,2.9,44.7,58,Snow,58,430,29.7,3.4,113,1
Air India,LHR,DEL,15:03,19.3,85,Storm,15,7179,7.3,0.1,7.6,99,Sunny,29,4241,3.1,0.8,0,0
Emirates,BLR,LHR,16:12,43.2,93,Cloudy,43,284,27.6,3.6,-26.6,84,Rain,45,237,22.6,4.2,92,1
Emirates,DXB,DEL,13:24,29.4,82,Rain,12,9457,3.5,0.0,-2.3,77,Fog,16,9458,0.5,0.2,0,0
IndiGo,DXB,BOM,19:16,-24.3,53,Rain,41,280,24.5,4.5,-26.9,31,Cloudy,52,583,22.4,3.8,34,1
SpiceJet,BLR,BOM,12:51,15.8,94,Cloudy,27,4577,0.4,0.4,19.6,90,Sunny,13,6224,2.9,1.0,0,0
Emirates,BLR,LHR,19:26,42.9,34,Rain,60,151,21.8,3.3,45.3,84,Sunny,42,632,21.2,4.9,55,1
Air India,BLR,DEL,12:23,21.8,62,Fog,11,3815,9.3,0.3,25.1,52,Snow,15,6245,1.4,0.3,0,0
SpiceJet,DXB,BOM,22:33,43.5,91,Cloudy,58,166,26.9,3.5,-21.0,90,Sunny,52,117,28.9,4.8,69,1
SpiceJet,LHR,DEL,05:13,24.5,96,Fog,3,6813,4.3,0.5,6.1,47,Cloudy,0,6674,0.3,0.4,0,0
British Airways,BLR,DXB,17:22,-23.2,75,Cloudy,42,346,22.0,3.8,-25.2,45,Sunny,51,122,29.0,4.4,98,1
SpiceJet,BLR,JFK,00:08,-1.1,80,Storm,29,9217,1.2,0.6,10.1,96,Sunny,9,6454,3.4,1.0,0,0
IndiGo,DXB,DEL,22:23,-25.3,73,Rain,47,351,25.7,3.3,-28.0,56,Sunny,47,520,24.5,4.1,29,1
Air India,BLR,BOM,07:24,15.2,70,Fog,9,4041,4.6,0.1,19.3,96,Rain,18,2975,4.2,0.2,0,0
Emirates,LHR,JFK,15:31,-28.2,74,Cloudy,52,179,27.9,2.6,-25.9,30,Sunny,60,212,26.6,3.4,47,1
Air India,BLR,LHR,19:09,-0.4,85,Storm,0,5212,6.3,0.0,21.1,91,Storm,24,2770,9.6,0.1,0,0
IndiGo,DEL,BOM,17:16,43.8,44,Fog,55,675,26.7,4.4,45.7,80,Cloudy,58,476,23.8,4.8,80,1
Air India,BLR,DEL,14:52,14.0,72,Snow,26,6596,0.5,0.2,9.2,63,Rain,12,8424,6.5,0.6,0,0
British Airways,DXB,LHR,15:49,-25.3,80,Cloudy,53,684,25.7,4.1,42.1,30,Cloudy,46,355,21.4,3.7,117,1
Emirates,DEL,JFK,17:28,-4.0,32,Snow,9,7028,7.2,0.5,17.2,35,Sunny,1,7135,9.3,0.1,0,0
IndiGo,LHR,DEL,17:13,44.0,93,Sunny,56,318,28.2,3.7,-24.3,76,Sunny,52,326,25.1,3.8,69,1
British Airways,DEL,JFK,14:17,14.3,88,Fog,17,2534,2.0,0.3,14.8,31,Rain,28,3252,8.5,1.0,0,0
British Airways,DEL,BOM,02:28,-29.7,64,Sunny,41,573,22.8,3.7,-24.2,93,Rain,50,120,23.7,3.2,106,1
IndiGo,BLR,BOM,15:18,-2.0,94,Snow,10,2557,7.3,0.1,21.8,39,Snow,10,8745,9.5,0.2,0,0
SpiceJet,JFK,DEL,01:48,44.0,59,Rain,56,247,25.0,3.7,44.5,71,Storm,54,355,27.5,4.1,50,1
British Airways,DXB,BLR,03:26,8.3,33,Fog,20,2278,4.6,0.8,29.6,59,Fog,18,2771,6.3,0.6,0,0
IndiGo,LHR,BOM,11:42,-23.4,81,Snow,46,385,28.2,4.0,-24.5,58,Storm,49,269,26.1,3.1,90,1
IndiGo,BLR,LHR,05:12,3.1,54,Rain,27,3993,0.5,0.6,26.7,34,Rain,2,5456,4.1,0.0,0,0
Emirates,BOM,DXB,10:42,45.0,83,Snow,42,609,24.5,3.4,42.9,55,Rain,49,115,28.9,4.8,33,1
Emirates,LHR,DEL,21:41,-6.0,72,Cloudy,4,8523,4.1,0.2,28.8,53,Rain,12,2251,1.4,0.5,0,0
SpiceJet,LHR,JFK,14:13,-29.3,70,Fog,45,302,29.9,4.6,43.3,78,Cloudy,57,510,28.5,3.3,88,1
Emirates,DEL,BOM,07:58,-6.0,80,Fog,30,3439,3.9,0.8,25.1,74,Storm,24,4976,1.1,0.2,0,0
SpiceJet,BLR,DEL,11:00,-28.1,59,Sunny,46,186,21.2,4.2,44.8,42,Fog,50,247,23.5,5.0,113,1
IndiGo,BLR,LHR,21:43,-1.0,45,Snow,4,4393,0.9,0.2,19.6,59,Fog,24,8621,4.1,0.6,0,0
Air India,BLR,DXB,14:26,-29.8,100,Sunny,47,515,21.4,4.8,-24.1,73,Snow,52,358,26.9,3.1,72,1
IndiGo,BOM,DXB,02:52,4.2,43,Cloudy,0,5818,4.4,0.8,12.1,34,Cloudy,6,2299,4.0,0.9,0,0
IndiGo,LHR,DXB,04:54,43.3,58,Sunny,51,398,25.4,4.0,-25.6,91,Snow,55,350,27.9,4.7,54,1
Air India,LHR,DXB,08:36,17.2,48,Cloudy,18,2977,9.3,0.9,10.6,42,Sunny,7,5536,6.8,0.5,0,0
Emirates,DXB,BOM,20:03,44.2,88,Fog,56,633,29.4,2.9,41.7,48,Fog,51,116,24.9,4.3,64,1
IndiGo,DEL,JFK,15:37,29.3,60,Rain,4,6186,5.4,0.9,9.2,60,Sunny,13,8683,2.3,0.7,0,0
IndiGo,LHR,DEL,21:18,-26.1,66,Storm,49,662,28.8,4.4,-28.4,84,Cloudy,59,423,25.6,3.0,93,1
Emirates,BOM,LHR,06:23,22.5,38,Cloudy,12,6566,3.2,0.5,29.7,69,Sunny,22,7355,0.8,0.2,0,0
SpiceJet,BLR,LHR,06:15,41.3,32,Cloudy,43,630,26.8,2.8,41.7,39,Sunny,56,234,29.1,4.4,23,1
SpiceJet,DXB,DEL,22:33,13.0,53,Rain,8,3780,6.0,0.3,20.0,94,Snow,15,5252,6.3,1.0,0,0
Emirates,LHR,DEL,13:04,42.0,32,Rain,54,177,24.6,2.9,-25.9,93,Fog,58,567,24.8,3.6,77,1
SpiceJet,BLR,LHR,05:57,6.0,97,Storm,12,2898,0.7,0.2,17.4,64,Sunny,6,9449,6.1,0.1,0,0
Emirates,BOM,BLR,22:53,45.6,65,Sunny,42,580,23.2,3.9,45.4,38,Snow,48,262,26.5,3.4,115,1
SpiceJet,DXB,BOM,10:26,10.1,76,Sunny,19,5098,5.0,0.7,15.6,80,Snow,21,6009,7.6,0.6,0,0
British Airways,LHR,BOM,10:53,-28.5,54,Storm,42,297,28.2,4.6,-29.1,93,Fog,49,608,28.1,4.9,63,1
Air India,JFK,BOM,20:27,24.0,37,Storm,19,5405,0.0,0.4,19.1,34,Storm,2,6966,0.3,0.4,0,0
SpiceJet,JFK,BLR,19:38,44.0,78,Storm,52,638,26.0,3.2,-21.5,49,Cloudy,60,638,27.4,3.7,43,1
IndiGo,LHR,DEL,18:33,7.8,31,Fog,22,3155,3.7,0.9,25.2,36,Rain,14,5962,9.9,0.2,0,0
Air India,BOM,LHR,10:20,43.3,100,Cloudy,54,198,24.2,4.0,-29.8,94,Sunny,50,346,22.8,2.9,96,1
IndiGo,JFK,LHR,21:22,23.9,76,Snow,22,8379,1.7,0.4,13.1,100,Snow,2,3940,4.0,0.8,0,0
SpiceJet,BOM,BLR,18:35,-25.1,56,Rain,41,394,29.5,4.1,-28.0,41,Storm,54,631,22.4,2.9,96,1
IndiGo,DEL,BLR,01:30,10.1,31,Rain,0,9894,4.9,0.6,20.9,75,Fog,3,6544,0.6,0.9,0,0
British Airways,DXB,DEL,23:49,44.4,40,Sunny,42,227,29.5,3.4,-28.6,56,Fog,59,416,26.9,4.1,115,1
SpiceJet,JFK,BLR,15:42,24.4,58,Cloudy,10,3541,4.3,1.0,23.3,59,Rain,18,9031,3.7,1.0,0,0
British Airways,LHR,JFK,04:22,-29.5,38,Cloudy,48,282,25.0,4.0,-28.0,49,Snow,58,231,24.1,5.0,39,1
Emirates,JFK,DXB,21:30,10.4,67,Storm,21,4306,4.3,0.4,26.7,44,Snow,30,4864,6.6,1.0,0,0
Air India,JFK,DXB,20:07,43.6,73,Storm,56,548,27.7,4.8,42.0,72,Sunny,57,377,22.7,3.9,72,1
Emirates,JFK,BLR,08:42,-5.6,77,Rain,28,7337,2.9,0.2,24.0,43,Rain,25,2917,3.2,1.0,0,0
Emirates,BLR,LHR,10:37,-29.7,89,Rain,57,272,30.0,4.2,-29.0,85,Sunny,55,284,24.8,3.9,60,1
IndiGo,DXB,BLR,04:38,-9.6,58,Storm,25,9473,2.7,0.7,2.7,34,Storm,10,2919,3.2,0.1,0,0
Air India,DXB,BLR,19:24,43.3,41,Fog,41,628,28.5,4.3,45.1,97,Snow,42,121,23.0,4.8,47,1
IndiGo,DXB,JFK,06:02,-2.1,31,Sunny,7,5297,6.5,0.4,-1.1,56,Storm,0,4622,6.7,0.9,0,0
SpiceJet,BLR,DXB,23:37,43.2,75,Storm,54,383,27.4,3.4,44.4,41,Storm,50,644,22.2,3.5,37,1
SpiceJet,BOM,DXB,20:23,29.7,85,Cloudy,16,2886,2.0,1.0,-1.7,64,Rain,12,5560,9.5,0.5,0,0
Air India,BOM,DXB,04:14,43.6,94,Storm,54,140,29.9,3.7,-27.5,47,Cloudy,53,277,25.8,4.2,47,1
British Airways,DEL,BLR,20:44,11.4,98,Sunny,2,2185,3.4,0.7,4.3,81,Fog,10,2281,0.7,0.3,0,0
SpiceJet,BLR,DEL,12:37,41.3,70,Storm,57,609,23.2,4.5,-26.2,76,Cloudy,48,161,24.0,3.8,118,1
Emirates,JFK,DEL,11:42,11.4,57,Sunny,19,9802,5.2,0.7,16.0,93,Cloudy,8,2740,9.5,0.9,0,0
Air India,JFK,BLR,17:25,-27.7,98,Rain,47,360,25.6,4.4,41.7,64,Fog,46,539,21.6,2.7,43,1
Air India,JFK,BLR,00:04,24.6,83,Fog,22,7774,5.6,0.5,8.9,83,Storm,16,2263,8.6,0.9,0,0
Air India,LHR,BOM,20:29,-26.3,61,Cloudy,50,104,28.0,2.9,-21.2,55,Snow,46,680,25.4,4.0,88,1
IndiGo,JFK,BLR,22:58,14.2,90,Rain,7,3425,8.6,1.0,6.7,51,Sunny,5,3244,5.5,0.5,0,0
IndiGo,JFK,BOM,11:14,-24.8,87,Rain,49,198,26.8,4.6,-23.1,50,Snow,55,442,28.5,3.3,35,1
Emirates,JFK,BOM,14:16,16.7,45,Storm,17,4122,1.6,0.7,-4.9,79,Rain,17,6959,3.3,0.8,0,0
British Airways,DXB,DEL,20:28,-25.3,97,Storm,43,167,29.2,4.0,45.5,42,Rain,44,690,28.0,4.9,96,1
Air India,LHR,BOM,12:21,14.6,98,Sunny,3,9112,1.5,0.3,26.5,43,Sunny,13,5709,4.0,0.1,0,0
Emirates,BLR,LHR,05:56,41.9,94,Snow,51,595,24.7,3.4,44.5,98,Fog,52,274,24.2,4.4,52,1
Air India,DXB,DEL,19:10,24.6,57,Snow,0,5126,0.2,0.5,-4.4,55,Sunny,14,6414,4.0,0.1,0,0
British Airways,BLR,LHR,13:31,43.4,96,Fog,51,491,21.7,3.1,-26.7,59,Fog,45,646,28.0,2.9,30,1
Air India,BLR,BOM,03:57,19.5,94,Rain,20,8343,4.0,0.4,8.3,70,Sunny,0,9453,0.8,1.0,0,0
Air India,DXB,BLR,17:18,-22.6,60,Rain,42,423,27.6,2.9,44.1,56,Sunny,58,601,24.7,4.5,67,1
Emirates,DEL,BLR,05:15,27.5,76,Snow,7,8712,8.7,0.6,29.8,72,Snow,19,5212,0.5,0.5,0,0
IndiGo,BOM,DXB,11:18,-28.7,62,Cloudy,58,522,28.4,4.1,42.9,79,Cloudy,59,678,22.3,5.0,30,1
Emirates,LHR,BOM,19:34,-0.3,58,Fog,23,8662,2.8,0.5,-7.8,76,Sunny,1,5403,2.4,0.2,0,0
Emirates,DEL,BOM,06:03,45.4,52,Cloudy,54,174,23.2,3.0,-27.9,89,Sunny,58,523,21.5,3.6,88,1
British Airways,BLR,DEL,01:08,6.2,96,Sunny,21,2254,5.3,0.2,-2.6,52,Cloudy,11,2130,6.4,0.2,0,0
Air India,LHR,DEL,09:35,-24.9,51,Fog,48,461,25.2,3.7,-22.7,99,Cloudy,46,326,28.5,2.6,114,1
British Airways,LHR,BOM,03:09,10.9,69,Rain,0,4183,9.2,1.0,4.0,58,Sunny,23,6184,2.6,0.4,0,0
Emirates,JFK,LHR,23:59,41.9,79,Rain,56,516,28.4,4.1,-25.3,70,Snow,43,630,25.2,4.3,105,1
British Airways,BOM,JFK,07:19,2.4,93,Snow,1,7890,1.3,0.8,16.1,79,Sunny,4,2395,8.6,0.9,0,0
IndiGo,JFK,LHR,17:17,-24.4,76,Sunny,59,215,26.4,4.5,45.6,63,Cloudy,46,322,29.4,3.0,97,1
British Airways,DEL,BLR,13:48,6.0,31,Storm,27,7291,7.5,0.5,6.8,32,Storm,25,5779,2.1,0.6,0,0
Air India,JFK,BLR,18:20,41.1,49,Snow,54,378,22.2,3.4,-24.7,86,Sunny,47,204,23.8,4.3,43,1
IndiGo,BLR,JFK,20:07,14.2,53,Rain,24,9044,2.3,0.8,7.4,64,Storm,7,8831,6.0,0.7,0,0
Air India,DXB,DEL,13:25,-21.7,31,Cloudy,53,130,24.3,3.9,45.5,62,Fog,41,506,22.3,3.5,61,1
Emirates,BOM,BLR,16:26,-6.3,65,Storm,27,5400,1.3,0.4,5.8,87,Cloudy,17,6465,3.2,0.8,0,0
SpiceJet,BLR,DXB,02:27,-29.3,89,Sunny,60,441,24.5,2.6,-23.7,66,Rain,45,535,22.8,2.8,119,1
Air India,BOM,DEL,02:48,3.1,43,Snow,28,6735,9.8,0.8,3.0,49,Rain,0,3161,7.5,0.2,0,0
British Airways,JFK,DXB,04:16,-22.3,88,Cloudy,48,213,23.7,4.6,-26.5,79,Cloudy,54,327,24.4,3.8,26,1
Emirates,BOM,DXB,23:44,24.1,84,Storm,15,6138,2.8,0.3,17.0,96,Rain,20,2559,5.2,0.5,0,0
Emirates,JFK,DXB,05:36,-26.5,99,Sunny,51,582,29.9,3.0,-28.8,61,Sunny,42,212,26.9,3.4,50,1
British Airways,DXB,JFK,22:00,24.6,86,Fog,1,4965,4.1,0.3,26.5,70,Fog,18,8880,0.1,0.1,0,0
SpiceJet,BOM,LHR,10:18,41.2,73,Storm,46,700,29.0,4.4,-24.1,37,Sunny,54,157,27.2,3.9,119,1
Air India,DXB,DEL,05:49,16.2,39,Storm,19,9480,5.9,0.9,21.8,87,Sunny,27,3948,4.5,0.3,0,0
SpiceJet,BLR,DEL,06:58,-29.1,84,Rain,55,358,27.2,3.9,44.2,53,Storm,53,299,24.0,4.9,23,1
Emirates,DEL,BLR,04:31,-0.5,37,Storm,16,9513,4.5,0.4,23.5,74,Storm,2,8161,6.0,0.4,0,0
Emirates,JFK,LHR,04:40,-26.8,64,Fog,54,139,21.2,4.5,-28.3,82,Sunny,41,228,29.4,4.4,84,1
SpiceJet,BLR,JFK,13:08,20.5,87,Storm,4,9989,7.1,0.3,-0.3,34,Cloudy,11,8096,2.2,0.0,0,0
Air India,LHR,DEL,12:50,-24.2,53,Rain,50,318,23.2,3.5,-21.7,39,Snow,54,645,26.6,4.8,84,1
Air India,DEL,LHR,22:47,19.0,47,Storm,16,2619,2.8,0.2,-10.0,88,Rain,13,7058,8.2,0.3,0,0
SpiceJet,BLR,DXB,07:46,-27.8,62,Sunny,60,361,24.4,4.4,42.9,75,Rain,58,112,21.1,2.7,107,1
British Airways,BOM,BLR,13:59,17.0,96,Snow,17,5590,0.3,0.6,-7.6,68,Cloudy,18,2935,7.9,0.9,0,0
SpiceJet,BLR,DEL,08:07,-26.7,35,Fog,52,205,29.8,3.7,-26.3,74,Rain,51,646,30.0,3.0,63,1
British Airways,JFK,DXB,21:17,19.7,97,Fog,19,3254,1.7,0.0,17.7,69,Cloudy,25,2735,6.2,0.6,0,0
Air India,JFK,BLR,18:50,-25.7,35,Rain,58,423,27.1,3.5,43.9,49,Storm,57,426,21.8,3.0,120,1
IndiGo,DEL,BOM,19:40,23.8,94,Fog,6,9450,3.0,0.8,5.4,79,Cloudy,9,3673,0.9,0.1,0,0
Air India,LHR,DEL,15:53,-28.7,44,Storm,48,150,22.8,4.6,-29.4,39,Storm,51,249,29.5,3.8,82,1
IndiGo,LHR,BLR,16:21,6.1,68,Rain,15,6664,5.2,0.0,8.7,75,Storm,15,5500,2.3,0.8,0,0
SpiceJet,JFK,LHR,22:04,-22.6,73,Cloudy,50,472,28.8,4.4,41.7,75,Cloudy,54,449,24.8,4.0,95,1
British Airways,LHR,DXB,16:02,7.9,91,Sunny,30,8242,5.3,0.1,22.2,52,Sunny,20,9443,1.9,1.0,0,0
IndiGo,JFK,DXB,15:20,-25.8,69,Snow,48,272,27.8,3.1,-28.0,46,Sunny,43,686,27.2,3.5,117,1
SpiceJet,LHR,DXB,08:13,9.6,93,Fog,0,2181,7.1,0.5,3.6,45,Rain,2,5254,1.4,0.6,0,0
Air India,DEL,JFK,15:47,44.2,51,Fog,41,346,22.3,3.0,-24.5,51,Sunny,58,562,27.5,4.2,94,1
IndiGo,BLR,DEL,02:36,-5.7,82,Cloudy,21,5019,9.7,0.4,3.7,95,Cloudy,0,7486,8.7,0.3,0,0
Emirates,DXB,JFK,21:36,43.7,97,Sunny,55,625,22.9,3.1,-29.7,92,Cloudy,57,656,27.5,4.1,70,1
British Airways,BLR,DEL,12:31,22.4,92,Sunny,9,2935,2.9,0.7,3.7,58,Rain,23,7376,4.4,0.4,0,0
SpiceJet,BLR,DEL,05:46,42.6,39,Storm,44,140,25.9,4.1,-26.8,51,Fog,59,103,29.1,4.9,72,1
British Airways,LHR,JFK,03:28,9.6,83,Storm,23,9442,2.5,0.3,-2.6,32,Snow,24,3968,5.4,0.9,0,0
IndiGo,DXB,JFK,12:44,43.0,59,Sunny,50,676,24.7,3.2,-21.3,30,Cloudy,45,538,25.4,2.6,96,1
SpiceJet,BLR,DEL,07:25,-2.6,87,Snow,5,7900,1.4,0.2,1.9,65,Snow,12,3042,8.6,0.4,0,0
Emirates,JFK,BOM,20:26,43.7,61,Fog,45,148,27.1,4.2,-22.5,42,Rain,43,443,22.6,2.8,120,1
Air India,DEL,BLR,18:16,-3.1,93,Sunny,24,6297,6.2,0.6,21.3,45,Storm,21,3110,8.9,0.0,0,0
SpiceJet,LHR,BOM,10:57,-29.0,62,Storm,49,332,23.8,3.8,44.4,63,Storm,53,122,26.3,4.9,31,1
Air India,BOM,LHR,07:41,7.7,53,Storm,24,5084,0.2,0.7,9.9,64,Rain,11,8677,6.8,0.6,0,0
IndiGo,DEL,DXB,14:46,42.2,50,Storm,44,347,25.4,4.9,41.6,46,Sunny,57,390,29.2,4.4,91,1
